Candidate,Coalition,Party
Teddy Baguilat,Laban ng Masa,Liberal
Roy Cabonegro,Laban ng Masa,PLM
Neri Colmenares,Laban ng Masa,Makabayan
David d'Angelo,Laban ng Masa,PLM
Leila de Lima,Laban ng Masa,Liberal
Chel Diokno,Laban ng Masa,KANP
Luke Espiritu,Laban ng Masa,PLM
Samira Gutoc,Laban ng Masa,Aksyon
Risa Hontiveros,Laban ng Masa,Akbayan
Elmer Labog,Laban ng Masa,Makabayan
Sonny Matula,Laban ng Masa,Independent
Lutgardo Barbo,MP3 Alliance,PDP–Laban
Jejomar Binay,MP3 Alliance,UNA
Neri Colmenares,MP3 Alliance,Makabayan
JV Ejercito,MP3 Alliance,NPC
Francis Escudero,MP3 Alliance,NPC
Win Gatchalian,MP3 Alliance,NPC
Richard Gordon,MP3 Alliance,Bagumbayan
Elmer Labog,MP3 Alliance,Makabayan
Loren Legarda,MP3 Alliance,NPC
Raffy Tulfo,MP3 Alliance,Independent
Joel Villanueva,MP3 Alliance,Independent
Juan Miguel Zubiri,MP3 Alliance,Independent
Greco Belgica,Tuloy na Pagbabago,PDDS
John Castriciones,Tuloy na Pagbabago,PDP–Laban
Rey Langit,Tuloy na Pagbabago,PDP–Laban
Loren Legarda,Tuloy na Pagbabago,NPC
Robin Padilla,Tuloy na Pagbabago,PDP–Laban
Salvador Panelo,Tuloy na Pagbabago,PDP–Laban
Astra Pimentel-Naik,Tuloy na Pagbabago,PDP–Laban
Harry Roque,Tuloy na Pagbabago,PRP
Gilbert Teodoro,Tuloy na Pagbabago,PRP
Mark Villar,Tuloy na Pagbabago,Nacionalista
JV Ejercito,Lacson–Sotto slate,NPC
Guillermo Eleazar,Lacson–Sotto slate,Reporma
Francis Escudero,Lacson–Sotto slate,NPC
Gregorio Honasan,Lacson–Sotto slate,Independent
Loren Legarda,Lacson–Sotto slate,NPC
Minguita Padilla,Lacson–Sotto slate,Reporma
Emmanuel Piñol,Lacson–Sotto slate,NPC
Raffy Tulfo,Lacson–Sotto slate,Independent
Joel Villanueva,Lacson–Sotto slate,Independent
Teddy Baguilat,Team Robredo–Pangilinan,Liberal
Jejomar Binay,Team Robredo–Pangilinan,UNA
Leila de Lima,Team Robredo–Pangilinan,Liberal
Chel Diokno,Team Robredo–Pangilinan,KANP
Francis Escudero,Team Robredo–Pangilinan,NPC
Richard Gordon,Team Robredo–Pangilinan,Bagumbayan
Risa Hontiveros,Team Robredo–Pangilinan,Akbayan
Alex Lacson,Team Robredo–Pangilinan,Ang Kapatiran
Sonny Matula,Team Robredo–Pangilinan,Independent
Antonio Trillanes,Team Robredo–Pangilinan,Liberal
Joel Villanueva,Team Robredo–Pangilinan,Independent
Herbert Bautista,UniTeam Alliance,NPC
Jinggoy Estrada,UniTeam Alliance,PMP
Larry Gadon,UniTeam Alliance,KBL
Win Gatchalian,UniTeam Alliance,NPC
Gregorio Honasan,UniTeam Alliance,Independent
Loren Legarda,UniTeam Alliance,NPC
Robin Padilla,UniTeam Alliance,PDP–Laban
Harry Roque,UniTeam Alliance,PRP
Gilbert Teodoro,UniTeam Alliance,PRP
Mark Villar,UniTeam Alliance,Nacionalista
Juan Miguel Zubiri,UniTeam Alliance,Independent
Ibrahim Albani,Labor Party Philippines,WPP
Melchor Chavez,Labor Party Philippines,WPP
Ernie Ereño,Partido Maharlika,PM
Willie Ricablanca Jr.,Partido Maharlika,PM
Silvestre Bello Jr.,,PDP–Laban
Monsour del Rosario,,Reporma
Fernando Diaz,,PPP
Baldomero Falcone,,DPP
Emily Mallillin,,PPM
Marieta Mindalano-Adam,,Katipunan
Leo Olarte,,Bigkis Pinoy
Nur-Ana Sahidulla,,PDDS
Abner Afuang,,Independent
Jesus Arranza,,Independent
Agnes Bailen,,Independent
Alan Peter Cayetano,,Independent
RJ Javellana,,Independent
Nur-Mahal Kiram,,Independent
Ariel Lim,,Independent
Francis Leo Marcos,,Independent
Rey Valeros,,Independent
Carmen Zubiaga,,Independent